Date,NASDQUE,DJIA
2011-10-03,5189.140137,10655.29981
2011-10-04,5190.100098,10808.70996
2011-10-05,5215.970215,10939.9502
2011-10-06,5250.27002,11123.33008
2011-10-07,5283.399902,11103.12012
2011-10-10,5309.830078,11433.17969
2011-10-11,5257.399902,11416.29981
2011-10-12,5241.830078,11518.84961
2011-10-13,5246.410156,11478.12988
2011-10-14,5243.839844,11644.49023
2011-10-17,5199.819824,11397
2011-10-18,5214.160156,11577.04981
2011-10-19,5213.330078,11504.62012
2011-10-20,5239.02002,11541.78027
2011-10-21,5246.790039,11808.79004
2011-10-24,5328.669922,11913.62012
2011-10-25,5292.399902,11706.62012
2011-10-26,5306.850098,11869.04004
2011-10-27,5316.02002,12208.54981
2011-10-28,5289.660156,12231.11035
2011-10-31,5300.870117,11955.00977
2011-11-01,5312,11657.95996
2011-11-02,5269.149902,11836.04004
2011-11-03,5318.549805,12044.46973
2011-11-04,5305.709961,11983.24023
2011-11-07,5257.490234,12068.38965
2011-11-08,5305.75,12170.17969
2011-11-09,5339.52002,11780.94043
2011-11-10,5295.180176,11893.86035
2011-11-11,5241.350098,12153.67969
2011-11-14,5235.029785,12078.98047
2011-11-15,5244.569824,12096.16016
2011-11-16,5249.689941,11905.58984
2011-11-17,5173.77002,11770.73047
2011-11-18,5155.25,11796.16016
2011-11-21,5211.890137,11547.30957
2011-11-22,5125.910156,11493.71973
2011-11-23,5259.47998,11257.54981
2011-11-25,5283.930176,11231.65039
2011-11-28,5275.910156,11523.00977
2011-11-29,5249.899902,11555.62988
2011-11-30,5227.209961,12045.67969
2011-12-01,5213.220215,12020.03027
2011-12-02,5222.990234,12019.41992
2011-12-05,5232.330078,12097.83008
2011-12-06,5218.919922,12150.12988
2011-12-07,5212.200195,12196.37012
2011-12-08,5217.689941,11997.7002
2011-12-09,5260.080078,12184.25977
2011-12-12,5244.600098,12021.38965
2011-12-13,5238.379883,11954.94043
2011-12-14,5240.149902,11823.48047
2011-12-15,5228.660156,11868.80957
2011-12-16,5227.109863,11866.38965
2011-12-19,5262.02002,11766.25977
2011-12-20,5232.890137,12103.58008
2011-12-21,5228.399902,12107.74023
2011-12-22,5204.580078,12169.65039
2011-12-23,5225.47998,12294
